FormNodeId,QuestionNodeId,EasyVisaId,QuestVersion,DisplayText,
Form_129F,Q_1,FQ_129F_1,quest_version_2,129F - Have you ever before filed a Petition for Alien Fiance or for any other beneficiary?,
Form_129F,Q_2,FQ_129F_2,quest_version_2,129F - Given Name (First name),
Form_129F,Q_3,FQ_129F_3,quest_version_2,129F - Middle Name (Do Not Abbreviate),
Form_129F,Q_4,FQ_129F_4,quest_version_2,129F - Family Name/Last Name/Surname,
Form_129F,Q_9,FQ_129F_9,quest_version_2,129F - Date of Filing,
Form_129F,Q_10,FQ_129F_10,quest_version_2,129F - What was the result of the petition?,
Form_129F,Q_12,FQ_129F_12,quest_version_2,129F - What was that person's Alien Registration Number (A-number)?,
,,,,,
Form_129F,Q_27,FQ_129F_27,quest_version_2,129F - How is the Principal Beneficiary related to you?,
Form_129F,Q_30,FQ_129F_30,quest_version_2,129F - Have you already filed the I-130 (Petitioner for Alien Relative) form for your spouse?,
,,,,,
,,,,,
,,,,,
Form_129F,Q_32,FQ_129F_32,quest_version_2,129F - Given Name (First name),
Form_129F,Q_33,FQ_129F_33,quest_version_2,129F - Middle Name (Do Not Abbreviate),
Form_129F,Q_34,FQ_129F_34,quest_version_2,129F - Family Name/Last Name/Surname,
,,,,,
Form_129F,Q_37,FQ_129F_37,quest_version_2,"129F - List any other Given Name used (e.g. Rich, Rick, Dick):",
Form_129F,Q_39,FQ_129F_39,quest_version_2,129F - List any other Middle Name used:,
Form_129F,Q_41,FQ_129F_41,quest_version_2,"129F - List any other Family Name/Last Name/Surname used (e.g. Smith II, Smith Jr.):",
,,,,,
,,,,,
,,,,,
Form_129F,Q_42,FQ_129F_42,quest_version_2,129F - In what country is your current physical address?,
Form_129F,Q_43,FQ_129F_43,quest_version_2,129F - Street Number and Name,
Form_129F,Q_44,FQ_129F_44,quest_version_2,"129F - Does your address have a secondary description (i.e. apartment, suite, or floor)?",
Form_129F,Q_45,FQ_129F_45,quest_version_2,129F - What is the secondary address description?,
Form_129F,Q_46,FQ_129F_46,quest_version_2,129F - Apartment/Suite/Floor Help,
Form_129F,Q_47,FQ_129F_47,quest_version_2,129F - City/Town/Village,
Form_129F,Q_48,FQ_129F_48,quest_version_2,129F - State,
Form_129F,Q_49,FQ_129F_49,quest_version_2,129F - Province/Territory/Prefecture/Parish,
Form_129F,Q_50,FQ_129F_50,quest_version_2,129F - ZIP Code,
Form_129F,Q_51,FQ_129F_51,quest_version_2,129F - Postal Code,
Form_129F,Q_52,FQ_129F_52,quest_version_2,129F - When did you move into this address?,
,,,,,
Form_129F,Q_54,FQ_129F_54,quest_version_2,129F - In what country was this previous physical address?,
Form_129F,Q_55,FQ_129F_55,quest_version_2,129F - Street Number and Name,
Form_129F,Q_56,FQ_129F_56,quest_version_2,"129F - Does your address have a secondary description (i.e. apartment, suite, or floor)?",
Form_129F,Q_57,FQ_129F_57,quest_version_2,129F - What is the secondary address description?,
Form_129F,Q_58,FQ_129F_58,quest_version_2,129F - Apartment/Suite/Floor Help,
Form_129F,Q_59,FQ_129F_59,quest_version_2,129F - City/Town/Village,
Form_129F,Q_60,FQ_129F_60,quest_version_2,129F - State,
Form_129F,Q_61,FQ_129F_61,quest_version_2,129F - Province/Territory/Prefecture/Parish,
Form_129F,Q_62,FQ_129F_62,quest_version_2,129F - ZIP Code,
Form_129F,Q_63,FQ_129F_63,quest_version_2,129F - Postal Code,
Form_129F,Q_64,FQ_129F_64,quest_version_2,129F - When did you move into this address?,
Form_129F,Q_65,FQ_129F_65,quest_version_2,129F - When did you move out of this address?,
,,,,,
Form_129F,Q_66,FQ_129F_66,quest_version_2,129F - State,
Form_129F,Q_67,FQ_129F_67,quest_version_2,129F - Country,
,,,,,
Form_129F,Q_68,FQ_129F_68,quest_version_2,129F - In Care of Name,
Form_129F,Q_69,FQ_129F_69,quest_version_2,129F - Is your current mailing address the same as your current physical address?,
Form_129F,Q_70,FQ_129F_70,quest_version_2,129F - In what country is this current mailing address?,
Form_129F,Q_71,FQ_129F_71,quest_version_2,129F - Street Number and Name,
Form_129F,Q_72,FQ_129F_72,quest_version_2,"129F - Does your address have a secondary description (i.e. apartment, suite, or floor)?",
Form_129F,Q_73,FQ_129F_73,quest_version_2,129F - What is the secondary address description?,
Form_129F,Q_74,FQ_129F_74,quest_version_2,129F - Apartment/Suite/Floor Help,
Form_129F,Q_75,FQ_129F_75,quest_version_2,129F - City/Town/Village,
Form_129F,Q_76,FQ_129F_76,quest_version_2,129F - State,
Form_129F,Q_77,FQ_129F_77,quest_version_2,129F - Province/Territory/Prefecture/Parish,
Form_129F,Q_78,FQ_129F_78,quest_version_2,129F - ZIP Code,
Form_129F,Q_79,FQ_129F_79,quest_version_2,129F - Postal Code,
,,,,,
,,,,,
,,,,,
Form_129F,Q_81,FQ_129F_81,quest_version_2,129F - Phone Number (Including Area Code),
,,,,,
Form_129F,Q_83,FQ_129F_83,quest_version_2,129F - Phone Number (Including Area Code),
,,,,,
Form_129F,Q_86,FQ_129F_86,quest_version_2,129F - email address,
,,,,,
,,,,,
,,,,,
Form_129F,Q_87,FQ_129F_87,quest_version_2,129F - Gender,
Form_129F,Q_88,FQ_129F_88,quest_version_2,129F - Date of Birth,
Form_129F,Q_89,FQ_129F_89,quest_version_2,129F - Country of Birth,
Form_129F,Q_90,FQ_129F_90,quest_version_2,129F - City/Town/Village,
Form_129F,Q_91,FQ_129F_91,quest_version_2,129F - State,
Form_129F,Q_92,FQ_129F_92,quest_version_2,129F - ZIP Code,
,,,,,
,,,,,
,,,,,
Form_129F,Q_95,FQ_129F_95,quest_version_2,129F - Please select your ethnicity (You race will be asked in a subsequent question):,
,,,,,
Form_129F,Q_96,FQ_129F_96,quest_version_2,129F - Are you White?,
Form_129F,Q_97,FQ_129F_97,quest_version_2,129F - Are you Asian?,
Form_129F,Q_98,FQ_129F_98,quest_version_2,129F - Are you Black or African American?,
Form_129F,Q_99,FQ_129F_99,quest_version_2,129F - Are you American Indian or Alaska Native?,
Form_129F,Q_100,FQ_129F_100,quest_version_2,129F - Are you Native Hawaiin or Other Pacific Islander?,
,,,,,
Form_129F,Q_103,FQ_129F_103,quest_version_2,129F - Feet,
Form_129F,Q_104,FQ_129F_104,quest_version_2,129F - Inches,
,,,,,
Form_129F,Q_106,FQ_129F_106,quest_version_2,129F - What is your weight?,
,,,,,
Form_129F,Q_107,FQ_129F_107,quest_version_2,129F - What is your eye color?,
,,,,,
Form_129F,Q_108,FQ_129F_108,quest_version_2,129F - What is the color of your hair?,
,,,,,
,,,,,
,,,,,
Form_129F,Q_112,FQ_129F_112,quest_version_2,129F - Alien Registration Number (A-Number),
Form_129F,Q_113,FQ_129F_113,quest_version_2,129F - Social Security Number (If any),
Form_129F,Q_115,FQ_129F_115,quest_version_2,129F - What is your USCIS ELIS Account Number?,
,,,,,
Form_129F,Q_120,FQ_129F_120,quest_version_2,129F - How was your citizenship acquired?,
Form_129F,Q_121,FQ_129F_121,quest_version_2,129F - Have you obtained a Naturalization/Citizenship Certificate Number?,
Form_129F,Q_122,FQ_129F_122,quest_version_2,129F - What is the Certificate of Naturalization/Citizenship Certificate Number?,
Form_129F,Q_123,FQ_129F_123,quest_version_2,129F - Where was your Naturalization/Citizenship Issued?,
Form_129F,Q_124,FQ_129F_124,quest_version_2,129F - What date was your Certificate of Naturalization/Citizenship Issued?,
,,,,,
,,,,,
,,,,,
Form_129F,Q_1008,FQ_129F_1008,quest_version_2,129F - What is your current employment status?,
Form_129F,Q_1009,FQ_129F_1009,quest_version_2,129F - What was the date you became unemployed?,
Form_129F,Q_1010,FQ_129F_1010,quest_version_2,129F - What was the last date of your unemployment?,
Form_129F,Q_1011,FQ_129F_1011,quest_version_2,129F - What was the date of your retirement?,
Form_129F,Q_1012,FQ_129F_1012,quest_version_2,129F - What was the last date of your retirement?,
Form_129F,Q_1014,FQ_129F_1014,quest_version_2,129F - What date did you begin working for this employer?,
Form_129F,Q_1016,FQ_129F_1016,quest_version_2,129F - When did this employment end for this employer?,
Form_129F,Q_1017,FQ_129F_1017,quest_version_2,129F - When did this employment end for this employer?,
Form_129F,Q_1018,FQ_129F_1018,quest_version_2,129F - In what country is this employer located?,
Form_129F,Q_1019,FQ_129F_1019,quest_version_2,129F - What is the full name of this employer?,
Form_129F,Q_1020,FQ_129F_1020,quest_version_2,129F - Street Number and Name,
Form_129F,Q_1021,FQ_129F_1021,quest_version_2,"129F - Does your address have a secondary description (i.e. apartment, suite, or floor)?",
Form_129F,Q_1022,FQ_129F_1022,quest_version_2,129F - What is the secondary address description?,
Form_129F,Q_1023,FQ_129F_1023,quest_version_2,129F - Apartment/Suite/Floor,
Form_129F,Q_1024,FQ_129F_1024,quest_version_2,129F - City/Town/Village,
Form_129F,Q_1025,FQ_129F_1025,quest_version_2,129F - State,
Form_129F,Q_1026,FQ_129F_1026,quest_version_2,129F - Province/Territory/State/Prefecture/Parish,
Form_129F,Q_1027,FQ_129F_1027,quest_version_2,129F - ZIP Code,
Form_129F,Q_1028,FQ_129F_1028,quest_version_2,129F - Postal Code,
Form_129F,Q_1029,FQ_129F_1029,quest_version_2,129F - What is your occupation at this employer?,
,,,,,
,,,,,
,,,,,
Form_129F,Q_1115,FQ_129F_1115,quest_version_2,129F - Have you ever been arrested cited charged indicted convicted fined or imprisoned for breaking or violating any law or ordinance in any country excluding traffic violations (unless a traffic violation was alcohol- or drug-related or involved a fine of $500 or more)?,
Form_129F,Q_1116,FQ_129F_1116,quest_version_2,129F - Please explain the incident:,
Form_129F,Q_1117,FQ_129F_1117,quest_version_2,129F - Provide the date of the incident:,
Form_129F,Q_1118,FQ_129F_1118,quest_version_2,129F - Provide the outcome of the incident:,
,,,,,
