SectionNodeId,SectionNodeName,SubSectionNodeId,SubSectionNodeName,FormNodeId,FormNodeName,EasyVisaId,QuestVersion,Name,DisplayText,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_SubSec1,quest_version_3,129F_previousImmigrationFilledForAnotherPerson,129F - Previous Immigration (Visa) Petitions You Filed for Another Person,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Form_130,130 - Petition for Alien Relative,FSS_130_SubSec1,quest_version_3,130_previousImmigrationFilledForAnotherPerson,130 - Previous Immigration (Visa) Petitions You Filed for Another Person,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Form_134,134 - Affidavit of Support,FSS_134_SubSec1,quest_version_3,134_previousImmigrationFilledForAnotherPerson,134 - Previous Immigration (Visa) Petitions You Filed for Another Person,
,,,,,,,,,,
Sec_1,Intro Questions,SubSec_2,Petitions for Other Relatives,Form_130,130 - Petition for Alien Relative,FSS_130_SubSec2,quest_version_3,130_petitionForOtherRelatives,130 - Petitions for Other Relatives,
,,,,,,,,,,
Sec_1,Intro Questions,SubSec_3,Previously Submitted Affidavit's of Support,Form_134,134 - Affidavit of Support,FSS_134_SUbSec3,quest_version_3,134_submittedAffidavitOfSupport,134 - Previously Submitted Affidavit/'s of Support,
,,,,,,,,,,
Sec_1,Intro Questions,SubSec_4,Sponsorship Relationship,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_SubSec4,quest_version_3,129F_sponsorshipRelationship,129F - Sponsorship Relationship,
Sec_1,Intro Questions,SubSec_4,Sponsorship Relationship,Form_130,130 - Petition for Alien Relative,FSS_130_SubSec4,quest_version_3,130_sponsorshipRelationship,130 - Sponsorship Relationship,
Sec_1,Intro Questions,SubSec_4,Sponsorship Relationship,Form_134,134 - Affidavit of Support,FSS_134_SubSec4,quest_version_3,134_sponsorshipRelationship,134 - Sponsorship Relationship,
Sec_1,Intro Questions,SubSec_4,Sponsorship Relationship,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_SubSec4,quest_version_3,864_sponsorshipRelationship,864 - Sponsorship Relationship,
,,,,,,,,,,
,,,,,,,,,,
Sec_2,Name,SubSec_5,Current Legal Name,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_SubSec5,quest_version_3,129F_currentLegalName,129F - Current Legal Name,
Sec_2,Name,SubSec_5,Current Legal Name,Form_130,130 - Petition for Alien Relative,FSS_130_SubSec5,quest_version_3,130_currentLegalName,130 - Current Legal Name,
Sec_2,Name,SubSec_5,Current Legal Name,Form_134,134 - Affidavit of Support,FSS_134_SubSec5,quest_version_3,134_currentLegalName,134 - Current Legal Name,
Sec_2,Name,SubSec_5,Current Legal Name,Form_751,751 - Petition to Remove Conditions on Residence,FSS_751_SubSec5,quest_version_3,751_currentLegalName,751 - Current Legal Name,
Sec_2,Name,SubSec_5,Current Legal Name,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_SubSec5,quest_version_3,864_currentLegalName,864 - Current Legal Name,
,,,,,,,,,,
Sec_2,Name,SubSec_6,Other Names Used,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_SubSec6,quest_version_3,129F_otherNamesUsed,129F - Other Names Used,
Sec_2,Name,SubSec_6,Other Names Used,Form_130,130 - Petition for Alien Relative,FSS_130_SubSec6,quest_version_3,130_otherNamesUsed,130 - Other Names Used,
Sec_2,Name,SubSec_6,Other Names Used,Form_134,134 - Affidavit of Support,FSS_134_SubSec6,quest_version_3,134_otherNamesUsed,134 - Other Names Used,
,,,,,,,,,,
,,,,,,,,,,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,Current Physical Address,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_currentPhysicalAddress,quest_version_3,129F_currentPhysicalAddress,129F - Current Physical Address,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,Current Physical Address,Form_130,130 - Petition for Alien Relative,FSS_130_currentPhysicalAddress,quest_version_3,130_currentPhysicalAddress,130 - Current Physical Address,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,Current Physical Address,Form_134,134 - Affidavit of Support,FSS_134_currentPhysicalAddress,quest_version_3,134_currentPhysicalAddress,134 - Current Physical Address,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,Current Physical Address,Form_751,751 - Petition to Remove Conditions on Residence,FSS_751_currentPhysicalAddress,quest_version_3,751_currentPhysicalAddress,751 - Current Physical Address,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,Current Physical Address,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_currentPhysicalAddress,quest_version_3,864_currentPhysicalAddress,864 - Current Physical Address,
,,,,,,,,,,
Sec_addressHistory,Address History,SubSec_previousPhysicalAddress,Previous Physical Address(es) within 5 Years,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_previousPhysicalAddress,quest_version_3,129F_previousPhysicalAddress,129F - Previous Physical Address(es) within 5 Years,
Sec_addressHistory,Address History,SubSec_previousPhysicalAddress,Previous Physical Address(es) within 5 Years,Form_130,130 - Petition for Alien Relative,FSS_130_previousPhysicalAddress,quest_version_3,130_previousPhysicalAddress,130 - Previous Physical Address(es) within 5 Years,
,,,,,,,,,,
Sec_addressHistory,Address History,SubSec_residedSince18,U.S. States and Foreign Countries Resided in Since 18th Birthday,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_residedSince18,quest_version_3,129F_residedSince18,129F - U.S. States and Foreign Countries Resided in Since 18th Birthday,
,,,,,,,,,,
Sec_addressHistory,Address History,SubSec_currentMailingAddress,Current Mailing Address,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_currentMailingAddress,quest_version_3,129F_currentMailingAddress,129F - Current Mailing Address,
Sec_addressHistory,Address History,SubSec_currentMailingAddress,Current Mailing Address,Form_130,130 - Petition for Alien Relative,FSS_130_currentMailingAddress,quest_version_3,130_currentMailingAddress,130 - Current Mailing Address,
Sec_addressHistory,Address History,SubSec_currentMailingAddress,Current Mailing Address,Form_134,134 - Affidavit of Support,FSS_134_currentMailingAddress,quest_version_3,134_currentMailingAddress,134 - Current Mailing Address,
Sec_addressHistory,Address History,SubSec_currentMailingAddress,Current Mailing Address,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_currentMailingAddress,quest_version_3,864_currentMailingAddress,864 - Current Mailing Address,
,,,,,,,,,,
,,,,,,,,,,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,Mobile Phone Number,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_mobilePhoneNumber,quest_version_3,129F_mobilePhoneNumber,129F - Mobile Phone Number,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,Mobile Phone Number,Form_130,130 - Petition for Alien Relative,FSS_130_mobilePhoneNumber,quest_version_3,130_mobilePhoneNumber,130 - Mobile Phone Number,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,Mobile Phone Number,Form_134,134 - Affidavit of Support,FSS_134_mobilePhoneNumber,quest_version_3,134_mobilePhoneNumber,134 - Mobile Phone Number,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,Mobile Phone Number,Form_751,751 - Petition to Remove Conditions on Residence,FSS_751_mobilePhoneNumber,quest_version_3,751_mobilePhoneNumber,751 - Mobile Phone Number,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,Mobile Phone Number,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_mobilePhoneNumber,quest_version_3,864_mobilePhoneNumber,864 - Mobile Phone Number,
,,,,,,,,,,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,Daytime/Home Phone Number,Form_129F,129F - Petition for Alien Fiancé(e),FSS_129F_daytimeAndHomePhoneNumber,quest_version_3,129F_daytimeAndHomePhoneNumber,129F - Daytime/Home Phone Number,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,Daytime/Home Phone Number,Form_130,130 - Petition for Alien Relative,FSS_130_daytimeAndHomePhoneNumber,quest_version_3,130_daytimeAndHomePhoneNumber,130 - Daytime/Home Phone Number,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,Daytime/Home Phone Number,Form_134,134 - Affidavit of Support,FSS_134_daytimeAndHomePhoneNumber,quest_version_3,134_daytimeAndHomePhoneNumber,134 - Daytime/Home Phone Number,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,Daytime/Home Phone Number,Form_751,751 - Petition to Remove Conditions on Residence,FSS_751_daytimeAndHomePhoneNumber,quest_version_3,751_daytimeAndHomePhoneNumber,751 - Daytime/Home Phone Number,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,Daytime/Home Phone Number,Form_864,864 - Affidavit of Support Under Section 213A of the INA,FSS_864_daytimeAndHomePhoneNumber,quest_version_3,864_daytimeAndHomePhoneNumber,864 - Daytime/Home Phone Number,
,,,,,,,,,,
