SectionNodeId,SectionNodeName,SubSectionNodeId,SubSectionNodeName,EasyVisaId,QuestVersion,Name,DisplayText,DataType,InputType,InputSourceType,Actionable,Refresh,RuleClassName,RuleParam,VisibilityRuleClassName,VisibilityRuleParam,InputTypeSourceRule,InputTypeSourceRuleParam,DisplayTextRule,DisplayTextRuleParam,TooltipRule,AttributeRule,AttributeRuleParam,AnswerCompletionValidationRule,AnswerCompletionValidationRuleParam,AnswerVisibilityValidationRule,AnswerVisibilityValidationRuleParam,AnswerValidationRule,AnswerValidationRuleParam,ExcludeFromPercentageCalculation,PdfFieldRelationshipRule,PdfFieldRelationshipRuleParam,DisplayOrderChildren,DefaultValue,WrapperName,StyleClassName,Readonly,ErrorMessage,ContextualClue,Tooltip
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_1,quest_version_3,everFilledPetition,Have you ever before filed a Petition for Alien Fianc$e$(e) or for any other beneficiary?,string,radio,yesNoRadioButton,TRUE,,,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,"A Beneficiary is a person who is immigrating to the United States. This could also include people who are already within the United States and they are changing their status to a LPR (Lawful Permanent Resident), also known as a Green Card holder."
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_2,quest_version_3,firstName,Given Name (First name),string,input,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,"Do NOT use honorific title prefixes (e.g. Dr., Mr. Mrs. Esq.) in the first name field."
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_3,quest_version_3,middleName,Middle Name (Do Not Abbreviate),string,input,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,"Unless your middle name is only one initial, then you must spell out your name out in its entirety.<br/><br/>If you use your maiden name as your middle name, then enter it here"
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_4,quest_version_3,familyName,Family Name/Last Name/Surname,string,input,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_5,quest_version_3,relationshipToYou,What was this person's relationship to you?,string,input,,TRUE,,,,QuestionnaireFormVisibilityOnRule,Form_134,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_6,quest_version_3,dob,What was this person's date of birth?,date,ev-ngdatepicker,,TRUE,,,,QuestionnaireFormVisibilityOnRule,Form_134,,,,,,,,,,,,,,,,,,,form-field-horizontal,question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_7,quest_version_3,cityortown,City or town where petition was filed,string,input,,FALSE,,FianceVisaIntroSectionVisibilityConstraintRule,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_8,quest_version_3,state,State where petition was filed,string,ev-ngselect,stateListDropdown,FALSE,,FianceVisaIntroSectionVisibilityConstraintRule,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_9,quest_version_3,dof,Date of Filing,date,ev-ngdatepicker,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,form-field-horizontal,question-label  ,,,,
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_10,quest_version_3,resultOfPetition,What was the result of the petition?,string,input,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,"<b>For example:</b> Approved, Denied, Revoked, Withdrawn"
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_11,quest_version_3,issuedAlienNo,Was this person issued an Alien Registration Number (A-Number)?,string,radio,yesUnknownRadioButton,TRUE,,,,QuestionnaireFormVisibilityOnRule,Form_129F,,,,,,,,,,,,,,,,,,,"request,form-field-horizontal",question-label  ,,,,"An 'A-Number' is assigned to people who have received Lawful Permanent Residence (LPR), which is also called a 'Green Card'."
Sec_1,Intro Questions,SubSec_1,Previous Immigration (Visa) Petitions You Filed for Another Person,Q_12,quest_version_3,alienNo,What was that person's Alien Registration Number (A-number)?,number,ev-aliennumber,,FALSE,,,,,,,,,,,,,AlienNumberAnswerCompletionRule,,,,,,,,,,,form-field-horizontal,question-label  ,,,,
